"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         157,      0.3298492535,       3.371792203,       2.942467681,       7.399310176
          0,           0,         158,      0.2975447235,       3.371581586,       2.811237564,       7.640182224
          0,           0,         159,       0.320155459,       3.368967001,       2.827605354,       7.464590772
          0,           0,         160,      0.3816524275,       3.369920143,       2.863281997,       7.688524598
          0,           0,         161,      0.4371673143,       3.365463275,       2.962484544,       7.430008746
          0,           0,         162,      0.4028748024,       3.300366197,       2.914446565,       7.680620448
          0,           0,         163,      0.3930559066,       3.301314168,        2.90969174,       7.469891917
          0,           0,         164,       0.391971364,       3.286078989,       2.905477097,       7.708642156
          0,           0,         165,      0.4175948268,       3.214418404,       2.911526145,       7.368121682
          0,           0,         166,      0.3935012284,       3.215000966,       2.938786489,        7.63589184
          0,           0,         167,      0.4245459124,       3.210631908,       2.965183737,       7.439982273
          0,           0,         168,      0.4500546127,       3.186397673,       3.099500089,       7.169467545
          0,           0,         169,      0.4551758187,       3.221821568,       3.150024202,       7.196184561
          0,           0,         170,      0.4203681149,       3.178417959,       3.141868632,       7.559859709
          0,           0,         171,      0.4029550072,        3.16568505,       3.154264448,       7.175148797
          0,           0,         172,       0.378130474,       3.211823202,        3.13844283,       7.403624497
          0,           0,         173,      0.3777424369,       3.232886612,        3.11358361,       7.677364117
          0,           0,         174,      0.4398519504,       3.287364017,       3.120637964,       7.843886819
          0,           0,         175,      0.4322101193,       3.278533597,       3.121879391,       8.051084738
          0,           0,         176,      0.4664599385,       3.308434107,       3.111046304,       8.236757954
          0,           0,         177,      0.4202507337,       3.310189342,       3.070413481,        8.38920339
          0,           0,         178,      0.4246996153,        3.29937254,       3.068740593,       8.229181859
          0,           0,         179,       0.390947027,       3.294907492,       3.042680064,       8.402229731
          0,           0,         180,      0.4257093595,       3.299021698,       3.066696569,       8.572132335
          0,           0,         181,      0.3787325907,        3.23916714,       3.015271618,       8.725687606
          0,           0,         182,      0.3743025414,       3.257851817,       3.028175222,         8.8790025
          0,           0,         183,      0.3731689686,       3.237818057,        3.02497453,       8.723609495
          0,           0,         184,      0.3669806082,       3.240573117,       3.038165281,        8.57689441
          0,           0,         185,      0.3505604082,       3.238629411,       3.057141078,       8.739636961
          0,           0,         186,      0.3703389394,       3.262115673,       3.043011637,       8.895872044
          0,           0,         187,      0.3527999011,       3.232405925,       3.054165394,       9.050987029
          0,           0,         188,      0.3113847045,       3.219898097,       3.013011786,       9.199586775
          0,           0,         189,      0.3072035143,        3.18046953,       3.027427611,       9.068568938
          0,           0,         190,      0.3416312568,       3.190253024,        3.06421573,       9.222492006
          0,           0,         191,      0.3533201946,       3.181912678,       3.079168594,       9.369560388
          0,           0,         192,      0.3692384744,       3.210147407,       3.064333751,       9.517996881
          0,           0,         193,      0.3560946963,       3.206396395,       3.031777948,       9.666399391
          0,           0,         194,      0.3686254076,       3.217933177,       3.055360993,       9.542274367
          0,           0,         195,      0.4061718404,       3.221057666,       3.079222792,        9.41846039
          0,           0,         196,      0.4351698364,       3.246649644,       3.098305257,       9.290312865
          0,           0,         197,      0.3963837738,       3.259992714,       3.107916223,       9.443479091
          0,           0,         198,      0.3946770489,       3.279648511,       3.169742669,       9.315536718
          0,           0,         199,      0.3729171811,       3.284347478,       3.127768801,       9.185994256
          0,           0,         200,       0.368317675,       3.315386898,       3.136684331,       9.339780595
          0,           0,         201,      0.3777787669,       3.335861931,       3.147358457,       9.212025179
          0,           0,         202,      0.3731349903,       3.301075647,        3.12999534,       9.364071162
          0,           0,         203,      0.3766665151,        3.33246262,       3.146658144,       9.237465961
          0,           0,         204,       0.396434392,       3.328740727,       3.148233925,       9.104998498
          0,           0,         205,      0.4348397554,        3.35108231,       3.185176921,        9.25802263
          0,           0,         206,      0.4483807421,       3.328223033,       3.199838577,       9.135525774
          0,           0,         207,      0.4834632587,       3.349661117,        3.19530454,       9.285696586
          0,           0,         208,      0.5157999579,       3.388386675,       3.211599444,       9.400538504
          0,           0,         209,      0.5189786829,       3.392761735,       3.198380696,       9.550737227
          0,           0,         210,      0.4957535786,       3.409442171,       3.202195123,       9.699729881
          0,           0,         211,      0.5080086746,       3.415252213,       3.202066966,       9.845897051
          0,           0,         212,      0.4848197759,       3.443190488,        3.20531249,       9.991576291
          0,           0,         213,      0.4666406037,       3.425304632,       3.208708021,       9.869020202
          0,           0,         214,      0.4948873635,       3.389995395,       3.221034911,       9.656140909
          0,           0,         215,      0.4931072797,       3.389478082,       3.207737837,        9.52995497
          0,           0,         216,      0.4822980344,       3.385495333,       3.228952609,       9.678750648
          0,           0,         217,      0.4608997548,       3.378141182,       3.240680413,        9.55044686
          0,           0,         218,      0.4738529837,       3.395548502,       3.256777974,       9.426149835
          0,           0,         219,      0.4454754057,       3.397487655,       3.308801304,       9.577350523
          0,           0,         220,      0.4347519218,       3.307590345,       3.370506505,       9.725089606
          0,           0,         221,      0.4454631451,       3.354659913,       3.351921722,       9.601046948
          0,           0,         222,       0.482389326,       3.376975849,       3.342834406,       9.474279018
          0,           0,         223,      0.5009672885,       3.409918046,       3.271169901,       9.344716181
          0,           0,         224,      0.5243122645,       3.418688964,       3.291514886,       9.218070591
          0,           0,         225,      0.5386877364,       3.389103869,       3.265071258,       9.089462895
          0,           0,         226,      0.5663520333,       3.378360285,       3.253607205,       8.958674966
