"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
3444, 1.015088837616724e-01, 0.000000000000000e+00, 2.738997568603859e-03, 0.000000000000000e+00, 0.000000000000000e+00, 9.319610253674503e+00, 3.727844101469800e+00, 4.741289134982901e+00, 0.000000000000000e+00, -3.571290949227741e+01, 1.307227081349854e-07, -1.516656012234952e-03, 0.000000000000000e+00, 1.606960389349538e+03, 1.303576931106173e+01
3509, 1.112790367716808e-01, 0.000000000000000e+00, 2.920380803648383e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.507474993458859e+02, 3.002989997383543e+02, 3.582158068352464e+01, 0.000000000000000e+00, -3.560342322077474e+01, 2.137682036231040e-06, -4.031578627517672e-03, 0.000000000000000e+00, 6.304370359454410e+04, 4.243874532379774e+00
3574, 1.219797082381896e-01, 0.000000000000000e+00, 1.279860877711916e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.184806395768131e+02, 8.739225583072522e+01, 2.378704702785966e+00, 0.000000000000000e+00, -3.568202279165398e+01, 4.742650897948861e-08, 2.685101484272011e-03, 0.000000000000000e+00, 3.907816876004982e+03, 3.268051639181194e+02
3639, 1.112790367716800e-01, 0.000000000000000e+00, 2.498218471723500e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.474920893488187e+04, 2.189968357395274e+04, 3.053780164995490e+01, 0.000000000000000e+00, -2.762949845150806e+01, 1.745687994299853e-06, 7.807959797229484e-02, 0.000000000000000e+00, 3.508220481791872e+04, 2.115269466408870e+02
3704, 1.306311330945100e-01, 0.000000000000000e+00, 4.396873463160440e-03, 0.000000000000000e+00, 0.000000000000000e+00, 6.037852891337199e+01, 2.415141156534879e+01, 1.913501895668750e+01, 0.000000000000000e+00, -3.570536964826392e+01, 9.420926499814055e-07, -5.583183825730638e-04, 0.000000000000000e+00, -1.094082812300894e+03, 1.390489345506354e+00
3769, 1.499832294173400e-01, 0.000000000000000e+00, 1.289548038133987e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.324076782954336e-02, 9.296307131817340e-03, 2.511327103236643e-02, 0.000000000000000e+00, -3.571428228233358e+01, 5.254416991751207e-11, 6.314747085730246e-10, 0.000000000000000e+00, 2.486550598815774e-03, 1.435887918336657e+01
3834, 1.693353257401800e-01, 0.000000000000000e+00, 1.068773423849911e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.307321381934377e+04, 5.229285527737508e+03, 1.704460946510817e+00, 0.000000000000000e+00, -3.378377101596539e+01, 2.893977504617790e-08, -1.127057764151678e-03, 0.000000000000000e+00, 1.206547282772307e+03, 3.170801780696838e+03
3899, 1.886874220630100e-01, 0.000000000000000e+00, 8.967751962348587e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.093609787870094e+02, 1.237443915148037e+02, 4.806979633566016e+01, 0.000000000000000e+00, -3.566860253913934e+01, 3.066192285907297e-06, 2.624261778699122e-03, 0.000000000000000e+00, -2.503350561029497e+03, 1.322800402777523e+00
3964, 2.080395183858400e-01, 0.000000000000000e+00, 1.684003622438886e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.803240716362897e-01, 7.212962865451585e-02, 1.492110615892489e-01, 0.000000000000000e+00, -3.571425908592366e+01, 7.601220765646348e-10, -2.703159745131460e-08, 0.000000000000000e+00, 6.035252222836447e-01, 7.421169551135686e+00
4029, 2.273916147086700e-01, 0.000000000000000e+00, 1.162365317129010e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.722002339750270e-02, 1.488800935900107e-02, 4.461946262118801e-01, 0.000000000000000e+00, -3.571428021802417e+01, 3.920154451766980e-09, -9.950520920020670e-07, 0.000000000000000e+00, 4.607489072938633e-01, 2.293714634271939e+00
4094, 2.467437110315000e-01, 0.000000000000000e+00, 6.369283787035979e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.394512274820015e+00, 9.578049099280059e-01, 5.238618891482641e+00, 0.000000000000000e+00, -3.571393211790109e+01, 1.511679676564911e-07, 1.060345165371220e-03, 0.000000000000000e+00, 1.809868178616507e+02, 4.545247006570581e+00
4159, 2.660958073543400e-01, 0.000000000000000e+00, 7.018938064993428e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.297731852946725e+02, 1.319092741178690e+02, 6.546878264770451e+02, 0.000000000000000e+00, -3.566558827920044e+01, 3.192107950067518e-05, -1.699203460081171e-01, 0.000000000000000e+00, 1.485748377432271e+07, 2.860415751598761e-01
4224, 2.854479036771700e-01, 0.000000000000000e+00, 3.164335936591885e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.015646582743490e+05, 1.606258633097396e+05, 1.768329681850396e+07, 0.000000000000000e+00, 2.358455891851154e+01, 6.130789011347976e-03, 4.004572862815861e+03, 0.000000000000000e+00, -2.443774663815802e+11, 4.854576566342344e-02
