"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         109,      -6.561487812,      -4.606262382,      -3.950059917,      -1.081598753
          0,           0,         110,      -6.566425168,      -4.633188551,      -3.950589468,      -1.086825287
          0,           0,         111,       -6.56756333,      -4.628706713,       -3.95142941,      -1.088108955
          0,           0,         112,      -6.571924119,      -4.606815415,      -3.958809707,       -1.09241021
          0,           0,         113,      -6.583727431,      -4.588908938,      -3.975169235,       -1.10399807
          0,           0,         114,      -6.603634504,        -4.5878441,      -3.998985857,      -1.123626738
          0,           0,         115,      -6.628386237,      -4.607932988,      -4.025035841,      -1.148169794
          0,           0,         116,      -6.652224245,      -4.646973949,      -4.046379217,       -1.17198564
          0,           0,         117,      -6.669749591,       -4.69593481,      -4.058746806,      -1.189704529
          0,           0,         118,      -6.679667122,      -4.738015217,      -4.063586149,      -1.199925712
          0,           0,         119,       -6.68387007,      -4.755151066,      -4.065340583,      -1.204377981
          0,           0,         120,      -6.687715083,      -4.745528293,      -4.070042922,       -1.20830235
          0,           0,         121,      -6.695675244,      -4.726074345,       -4.08123328,      -1.216161199
          0,           0,         122,      -6.710218018,      -4.714221655,      -4.099750978,      -1.230485064
          0,           0,         123,      -6.730936272,      -4.719297754,      -4.123336121,      -1.250961392
          0,           0,         124,      -6.754851409,       -4.74366016,      -4.147527952,      -1.274724896
          0,           0,         125,      -6.777702351,       -4.78434564,        -4.1673593,      -1.297595514
          0,           0,         126,      -6.795675396,      -4.832315421,      -4.180136619,      -1.315759614
          0,           0,         127,      -6.807871609,      -4.871449027,      -4.187380999,      -1.328214389
          0,           0,         128,      -6.815592288,      -4.886698127,      -4.192487541,      -1.336128553
          0,           0,         129,      -6.822237794,      -4.878389513,      -4.199508322,       -1.34281999
          0,           0,         130,      -6.831053193,      -4.861510834,      -4.211000139,      -1.351530235
          0,           0,         131,      -6.844147756,      -4.851041447,      -4.227619822,      -1.364426013
          0,           0,         132,      -6.861348915,      -4.855191356,      -4.247649131,      -1.381420067
          0,           0,         133,      -6.880610955,       -4.87637534,      -4.267772846,      -1.400562504
          0,           0,         134,      -6.899309711,       -4.91223314,      -4.284736148,       -1.41928932
          0,           0,         135,      -6.914995212,      -4.955405361,      -4.296711439,      -1.435143127
          0,           0,         136,      -6.926893605,      -4.993086296,      -4.304544176,      -1.447269901
          0,           0,         137,      -6.935666453,      -5.012061943,      -4.310600384,      -1.456226091
          0,           0,         138,      -6.942963872,      -5.009737513,      -4.317444227,      -1.463592419
          0,           0,         139,      -6.950720837,      -4.996269196,      -4.326935569,      -1.471292864
          0,           0,         140,      -6.960686914,      -4.984567932,      -4.339938125,      -1.481113938
          0,           0,         141,      -6.973920272,      -4.982959535,      -4.356197126,       -1.49417268
          0,           0,         142,      -6.989584256,      -4.995338216,       -4.37370533,      -1.509703175
          0,           0,         143,      -7.006119514,       -5.02173348,      -4.390056676,      -1.526207704
          0,           0,         144,      -7.021816415,      -5.057888917,      -4.403445429,      -1.541991517
          0,           0,         145,      -7.035222289,      -5.095172693,       -4.41326748,      -1.555565617
          0,           0,         146,      -7.045910444,       -5.12175952,      -4.420515028,      -1.566428476
