"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         308,      -10.08806174,      -7.902391919,      -7.435929323,      -4.605040916
          0,           0,         309,      -10.07622176,       -7.93677291,      -7.413870391,      -4.594554178
          0,           0,         310,      -10.05423973,       -7.93482121,      -7.390160764,      -4.573468109
          0,           0,         311,      -10.03892646,       -7.91201006,      -7.378750014,      -4.558459261
          0,           0,         312,      -10.03889582,      -7.889465316,      -7.385502107,      -4.558278209
          0,           0,         313,      -10.05714889,       -7.87990617,      -7.412009433,       -4.57605041
          0,           0,         314,       -10.0941035,      -7.888635644,      -7.457698002,      -4.612264654
          0,           0,         315,       -10.1469746,      -7.916807341,      -7.518672318,      -4.664201203
          0,           0,         316,      -10.20919786,       -7.96384993,      -7.584596394,      -4.725481693
          0,           0,         317,      -10.26523977,      -8.025243733,      -7.635024272,      -4.781083038
          0,           0,         318,       -10.2952516,      -8.089424817,      -7.650426004,      -4.811715404
          0,           0,         319,      -10.29274058,      -8.137370323,       -7.63429548,      -4.810582689
          0,           0,         320,      -10.27230604,      -8.149051112,      -7.608850115,      -4.791286366
          0,           0,         321,      -10.25322601,      -8.131560624,      -7.591812664,      -4.772733762
          0,           0,         322,      -10.24708371,       -8.10671534,      -7.591580698,        -4.7665949
          0,           0,         323,      -10.25866438,      -8.091102782,      -7.610971925,       -4.77779743
          0,           0,         324,      -10.28885836,      -8.092466197,      -7.649956698,      -4.807331528
          0,           0,         325,      -10.33655893,      -8.113317963,      -7.706349029,      -4.854141103
          0,           0,         326,       -10.3966579,      -8.153630851,      -7.772544739,      -4.913247608
          0,           0,         327,      -10.45757221,      -8.210728938,      -7.831886218,      -4.973441445
          0,           0,         328,      -10.49948042,       -8.27632368,       -7.86173126,      -5.015549489
          0,           0,         329,      -10.50884294,      -8.334202588,      -7.855405994,      -5.026137544
          0,           0,         330,       -10.4930276,      -8.361074422,      -7.830993989,      -5.011656095
          0,           0,         331,      -10.47193772,      -8.352745372,      -7.809561957,      -4.991338264
          0,           0,         332,      -10.46035372,      -8.328182815,      -7.802678895,      -4.979936766
          0,           0,         333,      -10.46522575,      -8.307609442,      -7.814751544,      -4.984553794
          0,           0,         334,       -10.4884329,      -8.301930363,      -7.846540275,      -5.007192593
